cycle,n_days,slope_current_per_day,cold_degree_days_per_day,mean_temp
0,5,1.49602388339961,14.823259110285312,3.176740889714689
1,11,0.7302135856137081,14.63035103359991,3.3696489664000877
2,16,0.4843914640561114,14.548462128285419,3.4515378717145815
3,18,0.4203389514944989,13.905762259982504,4.094237740017496
4,20,0.39389209434568556,12.34046719211585,5.6595328078841485
5,28,0.2954098915661689,9.102190556225661,8.897809443774339
6,137,0.048231899649747265,0.7373494237573738,22.585693015863278
7,100,0.0617212773732488,2.9643494273395783,16.92810358028006
8,25,0.31346066717732074,12.289183583663666,5.710816416336332
9,5,0.3363989412243042,14.04953381778726,3.9504661822127387
